Putamen,Caudate,Globus_Pallidus
19.087865139635255,30.070286981785294,112.65329372799886
24.09828761447499,34.52090626027826,123.4900854993316
11.00209247598751,17.741895632435487,116.25175424046495
14.49762735286727,20.335793947170934,129.60943143006006
22.76799075537756,24.635381364908046,125.88017317885365
17.290806632961548,19.01608057213517,92.33966202860084
13.773888261800703,23.190840161959205,124.1617810947283
22.009885088801802,23.400383530054086,124.38778263923436
17.30509707020539,24.024068330589117,134.39206989889715
18.14435921437422,21.66183279232692,80.33597780601528
23.77631000121887,30.46075064011106,120.67490292450054
16.65458745514779,19.845751870354125,111.2317163706726
23.666679140887176,23.991529916393436,125.89643500188585
11.90407283883098,19.021548140983292,105.3118962827669
20.332734889261285,27.168792732745914,109.39026036572355
19.99297117154585,28.897737151790334,131.25364399771428
14.371703777233947,26.619267968987288,101.52962917544636
11.581230290918725,29.651888989274614,125.94343236265252
22.077645422012544,27.37737345433825,124.05726544598295
17.29701177113813,25.852901338712073,92.61416316522588
22.5176576638552,26.294426185769304,119.54473291527614
19.962913680670013,24.899761186063863,122.02852708264851
15.78041455712576,25.66032315065545,100.62946065256119
18.868379057606482,26.55099663670785,110.92686404285995
15.021846417035695,17.657866478665547,122.53435792405139
19.22145018613865,23.77879116783241,130.1904397143728
13.751170021566246,20.4827155691725,105.94707679784136
25.85739468272953,43.42999708772497,117.94943015069424
11.670593892410935,19.044815535648645,144.8802996351493
17.415008018158616,26.066761950724448,99.24024368028856
24.782421319091803,26.23917664431599,114.3384926723613
23.67906698072691,19.69919424776316,131.7037364532166
19.85800244695558,35.91252046160993,121.6932732703773
15.96370879136721,19.226136855063118,106.10196765409779
13.97252521876425,23.92248584117197,92.01021742043619
16.639376261433874,31.723141146363155,127.54353833030815
19.323016379055453,33.97075778507623,103.31291665045775
22.853008113379737,31.35668090600617,115.0538062580501
21.34593534367691,24.802886013217382,131.8063662658043
18.162595950550447,22.242815589913175,117.45627785338101
16.133852682015537,17.31057377420001,106.007289782145
23.076916508546248,26.928314526346107,161.82610682701113
23.515880523788567,27.449041975263633,119.48876006640606
19.611934558224014,31.301494053324113,124.8247434030529
15.530030804822793,33.90951337359968,134.20057772668395
28.59988175462021,34.3914530308905,114.6618887788831
17.635865365246048,22.982300021092527,129.71925944874982
20.284635963183835,29.620230222492104,126.35952779765904
17.493701140255844,29.635587711733052,105.02669407634875
19.97544513988701,21.635224792541365,117.60161407436874
33.10270183657802,26.72296214269773,160.7818547387061
18.182618836722874,25.29751751719164,115.73233871320821
14.0734998603217,17.2222098475293,102.90593017470101
25.17518343129628,35.11232460514441,94.84507154460343
17.32682465016677,20.152554444159087,118.73913912951235
30.102275394076727,41.31876453373317,114.45334945518815
22.199477150982954,31.724651911334213,102.815414545825
14.666969881693799,28.240023771010094,98.23240763157547
21.73267922567066,26.660572350898427,102.6855421282332
20.484595530268003,24.098022187370027,112.11524465609035
17.507649070941383,27.13262320926162,104.87356054491644
20.456322799931314,23.779230200852567,104.76659359318825
17.721417626208748,26.292883396885486,108.43394808452835
21.02198178699163,26.771220654960025,100.0686027063577
12.205208463498671,18.423065744009364,111.8746984142112
16.245306225619267,25.39109847502159,103.38519168610094
14.86606095213097,19.392425909501412,104.87633879656451
15.883345247096663,21.545643194452687,94.1825581039636
12.552080903295785,22.740665472566953,129.63604079759435
18.297495060765193,24.615544920544217,129.9722165974963
13.570871735731526,24.494441253183744,90.35211317372804
13.566682998301875,28.392226266046286,99.2630960916243
13.979299676450244,20.297154198976592,85.44708404543724
11.827973784168144,21.225375539197557,96.49807543265628
