r_Pu_mean,l_Pu_mean,r_Cd_mean,l_Cd_mean,r_GP_mean,l_GP_mean
27.04929036236621,19.74464280462414,19.84113999310908,20.47684875560802,132.8690325049068,113.567255902569
11.58622505416401,10.62146286235038,26.30611698376511,27.45383048303941,75.82310945155673,74.0186413309644
17.92389120893771,15.70898552905551,23.66979309463209,22.72492337783582,98.5017954683233,100.9322924647027
18.82079164111275,16.67811543436313,27.99560639690255,28.18038493960474,134.03571149591,133.4955691877338
23.27992125181411,18.03543310200505,26.6094427944751,29.89751811973946,108.5184257846747,103.1914803419371
15.04789533685765,10.230892395474,19.45866757700115,18.89145855730233,111.3242015815905,109.4273464237847
24.25993422074365,22.94492882178877,29.4427237648553,29.84389019651792,125.9365157269781,124.4588004652129
19.94240715629367,19.42862237020547,19.44771603217423,17.60105846768057,107.4170987360351,108.5741822079578
19.22179207605596,15.64557234059658,26.82720298594307,32.07804203497034,117.9735766930581,122.1527889789872
17.96669632589782,20.20903395337269,32.74992168636751,27.39065227720308,108.9052004970673,116.4013869589304
28.86925722755567,30.47324387287585,42.27180758287008,40.90548716689263,117.3562726313761,119.4922052138875
20.94442445261893,23.88812091401486,19.53832808355773,16.08165115830577,110.5114236227227,117.1430362970338
24.50263851914628,23.6939367098037,37.54341214495424,31.49840037560228,126.0939641088611,120.8862068898021
19.65577899862485,20.28927369427602,26.70485270340251,29.28861777184828,109.1970247840728,110.5479380657638
15.99833546477917,17.28994223556291,24.68854228496621,23.98177347732009,103.0277311675458,102.5845751888127
17.90827504493845,21.44729391731354,16.98609275628516,19.38863673020774,105.0840077783908,113.6151954589121
19.3927308525202,17.64067580681399,22.13436899816057,22.68290232949476,105.6861551374906,111.0962709550471
19.24276047348199,18.63069575835957,19.41911475253671,21.1464149870534,126.366363180476,134.1642004077221
16.52837508162416,18.118717136102,25.64422561111614,20.48756347949475,103.4100385296827,117.0262305366367
17.35012366508314,17.46199540919359,20.34048288825401,24.93069583173908,80.10741771095826,79.88159102814582
23.34040034843749,24.17601104399576,31.02645170541767,32.39445138460941,118.9269370096384,121.5465057091331
10.54615802747619,17.85483546817828,23.80313076399015,21.58127536150585,96.10560555626132,97.55723224950502
11.34483129539657,10.65935365657845,17.29624898641901,18.18754227845196,115.1195065209264,117.3840019600035
22.87593778304572,20.05532319231851,34.02011505869069,27.08062021121672,112.334876121364,113.9658205840516
21.70600895668383,19.7265669800524,38.15843598579541,35.81596411886837,109.8957033816809,108.1816461410169
12.89197936192418,12.71770711945256,24.18770977601627,28.00491403256948,106.9442489705025,106.5779955769964
26.59030848542174,26.20828918622425,30.08910168321024,23.86699047781136,142.4716844585168,144.626907011737
21.76334808647664,19.45644090008332,15.81731043126217,13.44629949042214,124.2202097282392,135.4877625678175
18.09675156210333,10.89850314363121,19.33148845693234,21.34009943740953,132.1147619873563,127.1041008727638
